Label,Sample_WT_P_1,Sample_WT_S_2,Sample_WT_P_3,Sample_WT_S_4,Sample_WT_P_5,Sample_WT_S_6,Sample_MU_P_7,Sample_MU_S_8,Sample_MU_P_9,Sample_MU_S_10,Sample_MU_P_11,Sample_MU_S_12
200.1/2926,147887.53,451600.71,65290.38,56540.93,85146.33,162012.44,175177.08,82619.48,51951.61,69198.22,153273.47,98144.28
205/2791,1778569,1567038,1482796,1039130,1223132,1072038,1950287,1466781,1572679,1275313,1356014,1231442
206/2791,237993.6,269714,201393.4,150107.3,176989.7,156797,276541.8,222366.2,211717.7,186850.9,188285.9,172348.8
207.1/2719,380873,460629.7,351750.1,219288,286848.6,235022.6,417169.6,324892.5,277990.7,220972.4,252874,236728.2
219.1/2524,235544.92,173623.38,82364.59,79480.4,185792.43,174458.77,244584.47,161184.05,72029.38,75096.99,238194.38,173829.95
231/2516,117649.77,48960.63,222609.07,286232.15,435094.49,62168.71,465898.01,61234.44,96841.46,240261.21,201316.15,179437.72
233/3023,399145.3,356951.3,410550.7,198416.5,363381.7,317805.8,397107.8,271252.1,334459.9,181901.3,456900.5,294270.6
234/3024,76880.87,99526.27,97493.76,53461.71,88227.79,81072.23,65215.64,55952.44,73781.01,45211.66,83693.39,57516.2
235.1/2695,171995.22,128945.16,155442.48,115286.25,37769.45,7663.88,199981.49,30028.6,156968.3,52596.48,14641.59,27713.29
236.1/2524,252282.04,206031.93,71763.79,73602.47,186660.98,198804.28,253791.07,187225.65,79389.63,90012.64,256263.26,206486.98
240.2/3682,112440.56,90466.98,193768.65,170641.49,81223.74,146563.04,43974.38,270872.93,176425.15,187062.97,75235.94,86068.18
241.1/3679,1465988.7,1318746.6,1215368.7,632037.4,579968.2,561964.9,1468102.6,1594705.1,1006929.3,805533.2,731777.6,522916.1
242.1/3679,280767.61,248792.38,224467.69,109019.43,103841.94,101092.93,280260.24,299453.21,188328.19,139748.3,139968.46,95347.85
244.1/2832,612169.85,256316.47,90539.86,33269.29,54610.78,115505.42,627834.97,56883.71,168524.49,27260.37,110170.73,1352929.86
246.1/2517,27932.12,51557.09,38018.76,41747.84,56145.39,47901.55,105508.75,70508.82,46090.83,45630.55,77205.36,48624.55
249.1/3668,1435000.7,1228148.2,1193346.7,641881.8,536808.3,574005.7,1297985.8,1566269.1,1076654.1,747969.4,688496.3,485427.6
250.1/3668,347794.8,238893.4,248245.6,126623.8,107844.1,118627,281745,336058.8,215534.9,149872.8,139317.3,99814.5
254.1/3231,78911.16,564680.79,89307,127186.81,21055.46,24185.93,54645.64,124200.88,108479.02,30096,66315.96,27554.78
255.2/3679,1420043.2,1187751.9,1264222,673816.2,581177.9,651560.3,1211727.1,1550070.7,1024087.2,875296.3,759075.9,640885.7
256.2/3679,307708.4,263317.7,275104.9,138168.4,121284.4,128540.4,258452.2,338390.9,213618.1,180384.5,164675.7,91822.7
256.2/3453,229192.8,2899288.97,245869.33,113868.53,65507.24,62148.04,249301.23,293543.93,185415.28,99051.88,170656.94,159465.52
257.1/3654,188817.16,224010.07,227798.27,131171.36,77579.97,72091.01,257809.43,220890.76,190701.97,145974.27,73415.62,144957.04
264.1/3154,23256.97,185347.33,165143.89,188573.03,181567.06,195963.04,35633.14,129476.97,150120.71,169945.46,130895.08,144776.87
266.2/3669,379553.6,348338.5,325662.8,245240.9,143129.5,196007.9,223593.4,534034.5,312326.2,292310.4,182876.5,190006.1
267.2/3668,1463921.1,1238442.4,1151405.9,603390.1,536561,564339,1364214.7,1615383.6,1009688.3,728041.9,651345.9,492315.9
268.2/3880,7614.76,55745.68,272955.02,152727.24,105417.75,86353.8,2461.2,466306.59,207039.05,191819.34,115472.77,124478.18
268.2/3671,306981.48,264441.32,244444.34,128516.26,102490.42,113999.84,291569.81,323812.57,208591.49,147417.89,96925.02,75356.73
269.2/3882,666924.5,1237451.7,1063929.7,436101.2,499613.3,428314,464563.2,2276576.6,784441.8,620319,556389.9,392467.6
270.2/3880,130223.45,235715.9,207683.27,74064.13,72738.47,7591.71,49464.68,468060.9,162845.82,131648.49,53203.75,25684.37
272.1/3126,332583.56,237444.77,125686.69,48443.92,66313.16,43893.09,306153.78,18650.19,148857.79,27307.95,60750.28,401715.73
272.1/2732,224307.75,62601.86,74186.32,48837.8,47941.31,60537.9,294518.9,47981.32,131285.22,34838.16,70205.09,230220.89
